上から2番目がずれが大きいのはPQ_measuremainのノイズでとんがっているところが
最大値とずれたから。
有効数字3桁ぐらいで一致している。

          gnuplot                                      python
0.000655209873331326           6.555891594342943673e-04
-1.702858156819                     -1.707372952368553021e+00
                                         
0.00076843930498821              7.380146685084803962e-04
-2.56863498038656                 -2.243760447191465168e+00
                                          
0.000657672301468163           6.568165879772944107e-04
-1.66574728499902                 -1.657220092512020404e+00

0.000653857911357885            6.538976428283267738e-04
-1.67880576586545                  -1.679146525360527331e+00

0.000653692                            6.535879409584648614e-04
 -1.548466                               -1.547577324723089287e+00

0.000654202                            6.542371023616268830e-04
 -1.733407                               -1.733732452191486084e+00

0.000641467                            6.413965431329624566e-04
-1.685727                                -1.685027377154787009e+00
