#time[s]	1CH	2CH	3CH	4CH
0.001000	815.386292	0.004039	-614.400024	819.174988
0.002000	815.386292	0.005834	-614.400024	819.174988
0.003000	815.386292	0.002693	-614.400024	819.174988
0.004000	815.386292	0.009424	-614.400024	819.174988
0.005000	815.386292	0.008975	-614.400024	819.174988
0.006000	815.386292	0.000449	-614.400024	819.174988
0.007000	815.386292	-0.001795	-614.400024	819.174988
0.008000	815.386292	0.005385	-614.400024	819.174988
0.009000	815.386292	0.002693	-614.400024	819.174988
0.010000	815.386292	-0.001346	-614.400024	819.174988
0.011000	815.386292	0.009872	-614.400024	819.174988
0.012000	815.386292	0.004039	-614.400024	819.174988
0.013000	815.386292	0.002693	-614.400024	819.174988
0.014000	815.386292	0.007629	-614.400024	819.174988
0.015000	815.386292	-0.001346	-614.400024	819.174988
0.016000	815.386292	-0.000449	-614.400024	819.174988
0.017000	815.386292	0.001346	-614.400024	819.174988
0.018000	815.386292	0.000449	-614.400024	819.174988
0.019000	815.386292	0.012565	-614.400024	819.174988
0.020000	815.386292	-0.004936	-614.400024	819.174988
0.021000	815.386292	0.005385	-614.400024	819.174988
0.022000	815.386292	0.000898	-614.400024	819.174988
0.023000	815.386292	0.006282	-614.400024	819.174988
0.024000	815.386292	0.002244	-614.400024	819.174988
0.025000	815.386292	0.000449	-614.400024	819.174988
0.026000	815.386292	-0.002693	-614.400024	819.174988
0.027000	815.386292	-0.010321	-614.400024	819.174988
0.028000	815.386292	-0.006282	-614.400024	819.174988
0.029000	815.386292	-0.001795	-614.400024	819.174988
0.030000	815.386292	-0.009872	-614.400024	819.174988
0.031000	815.386292	-0.003590	-614.400024	819.174988
0.032000	815.386292	0.002693	-614.400024	819.174988
0.033000	815.386292	0.003141	-614.400024	819.174988
0.034000	815.386292	-0.001795	-614.400024	819.174988
0.035000	815.386292	-0.008078	-614.400024	819.174988
0.036000	815.386292	0.000898	-614.400024	819.174988
0.037000	815.386292	-0.000898	-614.400024	819.174988
0.038000	815.386292	0.005385	-614.400024	819.174988
0.039000	815.386292	0.012116	-614.400024	819.174988
0.040000	815.386292	0.008078	-614.400024	819.174988
0.041000	815.386292	0.009424	-614.400024	819.174988
0.042000	815.386292	0.003590	-614.400024	819.174988
0.043000	815.386292	0.008526	-614.400024	819.174988
0.044000	815.386292	-0.006731	-614.400024	819.174988
0.045000	815.386292	0.003590	-614.400024	819.174988
0.046000	815.386292	0.010321	-614.400024	819.174988
0.047000	815.386292	0.008078	-614.400024	819.174988
0.048000	815.386292	0.004936	-614.400024	819.174988
0.049000	815.386292	0.010321	-614.400024	819.174988
0.050000	815.386292	-0.010770	-614.400024	819.174988
0.051000	815.386292	0.008078	-614.400024	819.174988
0.052000	815.386292	-0.002244	-614.400024	819.174988
0.053000	815.386292	0.000898	-614.400024	819.174988
0.054000	815.386292	0.007180	-614.400024	819.174988
0.055000	815.386292	0.001346	-614.400024	819.174988
0.056000	815.386292	-0.007180	-614.400024	819.174988
0.057000	815.386292	0.009872	-614.400024	819.174988
0.058000	815.386292	0.005385	-614.400024	819.174988
0.059000	815.386292	-0.006282	-614.400024	819.174988
0.060000	815.386292	-0.002693	-614.400024	819.174988
0.061000	815.386292	-0.002693	-614.400024	819.174988
0.062000	815.386292	-0.001795	-614.400024	819.174988
0.063000	815.386292	0.004936	-614.400024	819.174988
0.064000	815.386292	0.000449	-614.400024	819.174988
0.065000	815.386292	0.013463	-614.400024	819.174988
0.066000	815.386292	0.007629	-614.400024	819.174988
0.067000	815.386292	0.007180	-614.400024	819.174988
0.068000	815.386292	0.006282	-614.400024	819.174988
0.069000	815.386292	0.006282	-614.400024	819.174988
0.070000	815.386292	0.013463	-614.400024	819.174988
0.071000	815.386292	-0.011219	-614.400024	819.174988
0.072000	815.386292	0.001795	-614.400024	819.174988
0.073000	815.386292	-0.001795	-614.400024	819.174988
0.074000	815.386292	-0.006282	-614.400024	819.174988
0.075000	815.386292	0.002244	-614.400024	819.174988
0.076000	815.386292	0.007180	-614.400024	819.174988
0.077000	815.386292	-0.001346	-614.400024	819.174988
0.078000	815.386292	0.004039	-614.400024	819.174988
0.079000	815.386292	-0.006282	-614.400024	819.174988
0.080000	815.386292	0.013911	-614.400024	819.174988
0.081000	815.386292	-0.001795	-614.400024	819.174988
0.082000	815.386292	0.008078	-614.400024	819.174988
0.083000	815.386292	-0.001795	-614.400024	819.174988
0.084000	815.386292	0.000898	-614.400024	819.174988
